frac,Class transformation,Two-model (T-learner),Response model (the usual way),Random
0.48596704357848175,711.0009464319517,689.9417959027378,711.1298185941043,571.8917307692307
0.49219699093542657,719.6031091964787,687.8657984144961,715.0001867762421,589.5450928381963
0.49842693829237145,721.4196478220574,698.8494122037694,721.8159837578442,604.6151832460732
0.5046568856493162,721.1289141182933,711.2767955801105,741.2414860681113,604.4150350942002
0.5108868330062611,732.3892399350063,717.6580480699199,750.4461206896551,615.0941883767534
0.517116780363206,745.6363311920059,724.4963175857733,752.222478693182,622.2113030957523
0.5233467277201508,756.2730803177406,725.4452321871677,767.8856439127376,624.2737608811512
0.5295766750770956,764.9589949398012,741.5191400104877,769.5120513265128,625.0377325377324
0.5358066224340404,775.8453839516826,745.6148928818245,778.7193072702332,633.0346380325598
0.5420365697909852,784.7096774193549,744.7714334412817,789.2027072758037,638.8913825595339
0.5482665171479301,786.4658783783784,760.7623862487362,785.8470942890638,661.8032454361055
0.5544964645048749,790.6842105263158,771.460372960373,792.5429376657826,658.8668224299065
0.5607264118618198,808.2334874504622,768.7548503781652,799.8862667977712,667.3275548951626
0.5669563592187646,811.1760666993623,777.3500488440247,808.6342292746115,676.3732854343566
0.5731863065757095,815.8679092382497,790.4053444945268,813.9504728321847,681.8509366925064
0.5794162539326543,831.3673895582328,800.7923566878981,824.3803710163311,684.2725239616614
0.5856462012895991,838.5878153260353,811.7600189334173,832.7659340659341,698.9702813784381
0.5918761486465439,851.827694235589,800.4235092101155,843.082607342875,712.0167370561551
0.5981060960034887,860.1707997520148,806.1156756756757,855.9978444957658,726.4304738309074
0.6043360433604336,861.1259963212754,809.2789666768572,862.0639561443581,739.2288564850344
0.6105659907173785,864.949643561353,831.2300576281468,872.2657311000453,754.9314693815529
0.6167959380743233,868.5024009603842,835.3011559825852,881.0609318996414,761.8411383827738
0.6230258854312681,872.9032210182575,848.005356345782,892.5468264536173,766.4967242406194
0.629255832788213,883.195530726257,863.3949419203059,896.3437316930288,771.5560465458832
0.6354857801451578,894.8632926119838,857.5705333721946,898.3050601710888,767.9165452956597
0.6417157275021026,896.1614620808748,873.8762440501948,904.0968992248063,775.3883999422883
0.6479456748590474,911.185411630883,885.9374642243847,912.9140625,780.2339089481945
0.6541756222159922,912.3842142353769,883.7341933654664,935.9202479921094,791.9318824194459
0.6604055695729371,926.0552215853488,889.8007576820542,937.9946994001953,799.5708292546497
0.666635516929882,940.4755302925273,900.876285793717,940.2596525096524,794.1284111372768
0.6728654642868268,953.5229987642456,909.925599338661,951.9250102445021,801.2272353263852
0.6790954116437716,957.1892774527148,918.5199781808265,958.1032144310323,806.384176182708
0.6853253590007164,966.8214526344159,936.0438537309406,961.637669485837,823.8558145802454
0.6915553063576613,973.4554561239481,936.8171122994652,969.3105879223197,843.4443257676903
0.6977852537146061,980.3349225268175,947.2243436754177,981.364271588662,859.6508398360004
0.7040152010715509,981.0434212252394,959.2959653042449,984.8816614420064,865.9997379454926
0.7102451484284957,993.9087482126608,970.0357142857142,985.3359243425314,887.0900818926298
0.7164750957854407,1007.4581293481062,973.8181818181818,1000.7899807321774,897.7105263157896
0.7227050431423855,1018.6883946830264,964.2401227464518,1007.2954429735234,903.8819089048106
0.7289349904993303,1019.4383162165589,969.2404918864097,1010.3590553169993,919.6127886323268
0.7351649378562751,1028.071240105541,980.9230189627026,1019.9830975334919,926.3250188964475
0.74139488521322,1041.9356608478804,993.0453639082752,1031.251770846278,934.7597702584594
0.7476248325701648,1053.1549870226177,1002.4990133201777,1037.8698385307532,946.0621517890306
0.7538547799271096,1059.6969140337985,1009.2199241218946,1047.489291396402,939.962681070464
0.7600847272840544,1055.233154950134,1019.0766614020167,1041.9090577950462,948.468639629765
0.7663146746409993,1070.1671487105327,1030.037237888648,1040.546374367622,957.8904059932336
0.7725446219979442,1074.812030075188,1041.7818442770003,1050.2033209891292,971.528390033541
