age,decile,n,median_km,ratio,rate,event
5,3,3821,44021.99609375,0.6942111253738403,0.9574041593585567,to_market
5,4,3982,51917.4375,0.8187193870544434,0.9977449260836883,to_market
5,5,3874,59532.8515625,0.9388117790222168,0.9706840390879479,to_market
5,6,4082,67476.578125,1.0640814304351807,1.0228013029315959,to_market
5,7,4266,76543.6171875,1.207065463066101,1.0689050363317465,to_market
5,8,4126,88135.7265625,1.3898688554763794,1.0338261087446754,to_market
5,9,4512,105936.6796875,1.6705834865570068,1.1305437233775995,to_market
5,10,4101,149844.40625,2.362992525100708,1.0275620145326985,to_market
6,1,2897,27212.3984375,0.3568805456161499,0.8111664893319146,to_market
6,2,3281,42868.09765625,0.5621992349624634,0.9186873494987959,to_market
6,3,3483,53661.96484375,0.7037568688392639,0.9752478019824158,to_market
6,4,3430,62869.0234375,0.824504017829895,0.9604076832614661,to_market
6,5,3723,71760.6484375,0.9411143660545349,1.0424483395867166,to_market
6,6,3725,80951.609375,1.0616503953933716,1.0430083440667526,to_market
6,7,3758,91454.1953125,1.199388027191162,1.0522484179873437,to_market
6,8,3801,104589.65625,1.371654748916626,1.0642885143081144,to_market
6,9,4112,124371.7109375,1.6310889720916748,1.1513692109536875,to_market
6,10,3504,171682.40625,2.251551389694214,0.9811278490227922,to_market
7,1,2385,32640.71484375,0.36556658148765564,0.7582983594048073,to_market
7,2,2781,50815.83984375,0.5691227316856384,0.8842045020984357,to_market
7,3,3064,63216.640625,0.7080081105232239,0.9741828818517104,to_market
7,4,3409,73852.796875,0.8271300196647644,1.0838738395014624,to_market
7,5,3301,84089.8359375,0.9417818784713745,1.0495358005850184,to_market
7,6,3236,94711.5,1.0607414245605469,1.0288693882741955,to_market
7,7,3382,106575.5859375,1.1936157941818237,1.0752893297723514,to_market
7,8,3577,121365.4609375,1.3592581748962402,1.13728856670482,to_market
7,9,3707,143334.609375,1.6053062677383423,1.1786213913264658,to_market
7,10,2610,193477.75,2.1668949127197266,0.8298359404807324,to_market
8,1,2010,37900.05078125,0.37176772952079773,0.7804309842748981,to_market
8,2,2319,58559.19921875,0.5744166970252991,0.9004076878276063,to_market
8,3,2614,72589.4609375,0.7120417952537537,1.0149485536788971,to_market
8,4,2719,84646.6640625,0.8303128480911255,1.0557173364395263,to_market
8,5,2661,96150.2578125,0.943153440952301,1.0331974373907977,to_market
8,6,2624,107945.140625,1.0588513612747192,1.0188312948941953,to_market
8,7,2755,121061.296875,1.1875098943710327,1.0696952048145991,to_market
8,8,2978,137072.65625,1.344567894935608,1.1562803339157446,to_market
8,9,3132,160194.109375,1.571370005607605,1.2160745486313336,to_market
8,10,1943,211351.125,2.0731773376464844,0.7544166181324015,to_market
9,1,1961,43498.95703125,0.38242989778518677,0.9048959438881454,to_market
9,2,2171,66401.53125,0.5837824940681458,1.0017996400719855,to_market
9,3,2152,81872.15625,0.7197956442832947,0.9930321627982095,to_market
9,4,2158,95028.546875,0.835462749004364,0.9958008398320336,to_market
9,5,2331,107531.5390625,0.9453853368759155,1.0756310276406256,to_market
9,6,2274,120246.96875,1.057175636291504,1.0493285958192977,to_market
9,7,2387,134269.171875,1.1804546117782593,1.1014720132896498,to_market
9,8,2539,151281.5625,1.3300225734710693,1.1716118314798578,to_market
9,9,2305,175532.765625,1.5432318449020386,1.0636334271607217,to_market
9,10,1393,227153.28125,1.9970641136169434,0.642794518019473,to_market
10,1,1492,48461.37109375,0.3860824406147003,0.8797169811320754,to_market
10,2,1747,73817.390625,0.5880889892578125,1.0300707547169812,to_market
10,3,1843,90792.75,0.7233284115791321,1.0866745283018868,to_market
10,4,1702,105159.3671875,0.837784469127655,1.0035377358490565,to_market
10,5,1873,118718.890625,0.9458105564117432,1.1043632075471699,to_market
10,6,1999,132463.5,1.0553112030029297,1.1786556603773584,to_market
10,7,2014,147661.34375,1.1763895750045776,1.1874999999999998,to_market
10,8,1971,165892.78125,1.3216358423233032,1.1621462264150944,to_market
10,9,1494,191614.9375,1.5265593528747559,0.8808962264150944,to_market
10,10,825,243327.984375,1.9385472536087036,0.486438679245283,to_market
11,1,1380,54435.2578125,0.39318928122520447,0.9569377990430622,to_market
